id,handle,followers_count,friends_count,isProxy
0,"bethsy",4002,3236,0
1,"wurdsmyth",12966,4376,0
2,"kleeblattfuerth",55897,6,0
3,"karlou",3910,3884,0
4,"stabi_erlangen",2755,841,0
5,"NatasaDragnic",834,508,0
6,"BuecherInsel",2172,978,0
7,"annecater",24361,9864,0
8,"NuernbergKultur",5427,134,0
9,"dumontverlag",8573,955,0
10,"arsvivendi_com",144,87,0
11,"LouiseWriter",9254,3341,0
12,"feltrinellied",191579,1401,0
13,"duolingo",598113,508,0
14,"TillBroenner",3020,6,0
15,"FwdTranslations",2247,1663,0
16,"sabineseide",51,131,0
17,"philargitta",103,109,0
18,"dasus24",237,282,0
19,"Lindahill50Hill",18306,7231,0
20,"taabeesaa",55,471,0
21,"booksbybindu",772,809,0
22,"kaleofthelord20",257,86,0
23,"ShortBookScribe",9968,4662,0